County,License_Number,Establishment_Type,Entity_Name,DBA_Name,Street_Number,Street_Name,City,State_Abbreviation,Zip_Code,Square_Footage,Latitude,Longitude
Nassau,282605,JAC,AGB DELI INC,AGB DELI,914,JERICHO TPKE,NEW HYDE PARK,NY,11040,3600,-73.685722,40.732422
Queens,637826,A,CVS ALBANY LLC,CVS/PHARMACY #1107,68-02,MYRTLE AVE,GLENDALE,NY,11385,10000,-73.884514,40.701643
Ulster,510779,JAC,KRS PETROL INC,CITGO MART,3139,RT 28,SHOKAN,NY,12481,1800,-74.206906,41.973721
Genesee,180213,JAC,BATAVIA FOODS INC,SAVE A LOT,45-47,ELLICOTT ST,BATAVIA,NY,14020,18000,-78.184794,42.996076
Suffolk,737507,A,SMOKE WORX INC,SMOKE WORX,500,OAK STREET,COPIAGUE,NY,11726,1000,-73.39933,40.679925
Jefferson,220152,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 8676,1222,ARSENAL ST,WATERTOWN,NY,13601,6000,-75.942538,43.976622
Bronx,736968,JAC,1150 JOSEPH DELI & GROCERY INC,1150 JOSEPH DELI & GROC,1150,GARRISON AVE,BRONX,NY,10474,400,-73.888711,40.820098
Kings,610798,JAC,HB&SON MEAT CORP,MARKETPLACE OF BUSHWICK,1781-1783,BROADWAY,BROOKLYN,NY,11207,15000,-73.909547,40.682372
Columbia,100232,A,FAMILY DOLLAR STORES OF NY INC,FAMILY DOLLAR #2358,15,DARDESS DR,CHATHAM,NY,12037,5000,-73.605025,42.350701
Queens,739415,JAC,HUA LIAN SUPERMARKET INC,HUA LIAN SUPERMARKET,25-03,PARSONS BLVD,FLUSHING,NY,11354,27000,-73.824434,40.77603
Orange,331250,A,ASAIDI MOHAMED A,A&S QUICK STOP,220,BROADWAY,NEWBURGH,NY,12550,1000,-74.017333,41.500435
Queens,638247,JAC,ASTORIA FISHERY CORP,OCEAN FISH,35-08,30TH AVE,ASTORIA,NY,11103,1500,-73.91788,40.765248
New York,623223,JABCD,MISONO FOOD LTD,BUONITALIA,75,9TH AVE,NEW YORK,NY,10011,11000,-74.004466,40.742227
Queens,639187,A,TOYS R US DELAWARE INC,TOYS R US #6322,61ST,AVE & DOUGLASTON PKWY,LITTLE NECK,NY,11363,0,,
Bronx,601536,JAC,EAST 233 FOOD CORP,FINE FARE SUPERMARKET,1199,E 233RD ST,BRONX,NY,10466,14000,-73.843364,40.888923
Clinton,709612,JACW,FORTIN MARY G & GILLES M,AMAZING GRACE VINEYARD,9839,RT 9,CHAZY,NY,12921,1500,-73.436335,44.901365
Kings,619459,JAC,STANKOWSKI ZBIGNIEW,STAR DELI&BAKERY,176,NASSAU AVE,BROOKLYN,NY,11222,1000,-73.946184,40.725291
Kings,746166,JAC,EL NUEVO TAMARINDO DELI GROCERY C,EL NUEVO TAMARINDO DELI,1729,86TH STREET,BROOKLYN,NY,11214,1500,-74.003786,40.607951
